scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Uncorr_RSF_RFGhost,8,0.7628526232533615,0.7627124786376953,rf,rsf,,X3,1394.5987148630527,3
Linear_Uncorr_RSF_RFGhost,8,0.7628526232533615,0.7627124786376953,rf,rsf,,X4,8.16038009111473,5
Linear_Uncorr_RSF_RFGhost,8,0.7628526232533615,0.7627124786376953,rf,rsf,,X5,51.89342331835043,4
Linear_Uncorr_RSF_RFGhost,9,0.7685791297651136,0.7445135116577148,rf,rsf,,X1,521.3685901663235,3
Linear_Uncorr_RSF_RFGhost,9,0.7685791297651136,0.7445135116577148,rf,rsf,,X2,1585.3627551289678,2
Linear_Uncorr_RSF_RFGhost,9,0.7685791297651136,0.7445135116577148,rf,rsf,,X3,2473.1938694580044,1
Linear_Uncorr_RSF_RFGhost,9,0.7685791297651136,0.7445135116577148,rf,rsf,,X4,16.10945175625554,4
Linear_Uncorr_RSF_RFGhost,9,0.7685791297651136,0.7445135116577148,rf,rsf,,X5,9.12456057867618,5
Linear_Uncorr_RSF_RFGhost,10,0.8342742441349893,0.7793140411376953,rf,rsf,,X1,2121.214647785268,1
Linear_Uncorr_RSF_RFGhost,10,0.8342742441349893,0.7793140411376953,rf,rsf,,X2,1011.090234245926,2
Linear_Uncorr_RSF_RFGhost,10,0.8342742441349893,0.7793140411376953,rf,rsf,,X3,883.1780854085373,3
Linear_Uncorr_RSF_RFGhost,10,0.8342742441349893,0.7793140411376953,rf,rsf,,X4,60.76933790911527,4
Linear_Uncorr_RSF_RFGhost,10,0.8342742441349893,0.7793140411376953,rf,rsf,,X5,38.63324065827668,5
Linear_Uncorr_RSF_RFGhost,11,0.7690329218106996,0.6943700313568115,rf,rsf,,X1,1042.4748526540748,3
Linear_Uncorr_RSF_RFGhost,11,0.7690329218106996,0.6943700313568115,rf,rsf,,X2,1103.941965447574,2
Linear_Uncorr_RSF_RFGhost,11,0.7690329218106996,0.6943700313568115,rf,rsf,,X3,1810.0308945208467,1
Linear_Uncorr_RSF_RFGhost,11,0.7690329218106996,0.6943700313568115,rf,rsf,,X4,41.870647273439154,4
Linear_Uncorr_RSF_RFGhost,11,0.7690329218106996,0.6943700313568115,rf,rsf,,X5,24.967009985875876,5
Linear_Uncorr_RSF_RFGhost,12,0.7728037262259024,0.7322332859039307,rf,rsf,,X1,532.3970160823737,3
Linear_Uncorr_RSF_RFGhost,12,0.7728037262259024,0.7322332859039307,rf,rsf,,X2,2837.8569759739034,1
Linear_Uncorr_RSF_RFGhost,12,0.7728037262259024,0.7322332859039307,rf,rsf,,X3,2181.5092683074204,2
Linear_Uncorr_RSF_RFGhost,12,0.7728037262259024,0.7322332859039307,rf,rsf,,X4,33.19904577314744,4
