time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
4.:0:,2152.2,157.66,6.16567,-75.41959399999999,0.0,-0.09,0.96,0.07,-6.74,-53.32,84.96,-3.62,0.69,0.75,31.9,79058.0,2044.39,49059.095,0.0004,0.0187,0.0255,0.0911,0.1188,0.2693,0.002,0.0053,30.91,40.44,33.12
27:.0:,2152.2,157.66,6.16567,-75.41959399999999,0.0,-0.09,0.96,0.07,-6.15,-53.32,85.55,-3.52,0.79,0.61,31.9,79066.0,2043.58,49083.418,0.0004,0.0182,0.0255,0.0877,0.115,0.243,0.0019,0.0051,30.91,40.44,33.12
52:.0:,2152.2,157.66,6.16567,-75.41959399999999,0.0,-0.09,0.96,0.07,-6.45,-53.32,85.25,-3.88,0.81,0.49,31.9,79073.0,2042.87,49107.304,0.0004,0.0187,0.0255,0.0911,0.1188,0.2693,0.002,0.0053,30.93,40.44,33.25
11:6.:0,2152.1,259.89,6.16567,-75.419738,0.0,-0.09,0.96,0.07,-6.45,-53.03,85.25,-3.75,0.9,0.76,31.9,79066.0,2043.58,49132.051,0.0004,0.0186,0.0255,0.09,0.1175,0.2625,0.002,0.0052,30.93,40.48,33.25
14:0.:0,2152.2,235.95,6.165582,-75.4198,0.95,-0.09,0.96,0.08,-6.45,-53.03,84.96,-3.56,0.83,0.47,31.9,79063.0,2043.89,49155.381,0.0004,0.0186,0.0255,0.0911,0.1188,0.2625,0.002,0.0052,30.93,40.51,33.12
20:4.:0,2152.2,251.38,6.165618,-75.41985600000001,0.0,0.0,0.17,0.96,7.03,-66.8,96.68,-3.33,0.63,0.46,31.9,79069.0,2043.28,49180.256,0.0004,0.0186,0.0253,0.09,0.1175,0.2625,0.002,0.0052,30.91,40.68,33.12
22:9.:0,2152.2,119.92,6.165527,-75.419563,2.2,0.0,0.18,0.96,6.74,-67.09,96.09,-3.5,1.07,0.92,32.0,79074.0,2042.77,49204.017,0.0004,0.0186,0.0253,0.0911,0.1188,0.2625,0.002,0.0052,30.9,40.64,33.25
25:2.:0,2152.1,111.55,6.165428,-75.419219,3.87,0.0,0.18,0.96,7.03,-67.09,96.39,-3.62,0.69,0.52,32.0,79072.0,2042.97,49228.344,0.0004,0.0187,0.0253,0.0911,0.1188,0.2693,0.002,0.0053,30.91,40.61,33.25
31:7.:0,2151.5,94.06,6.165375,-75.41896899999999,5.14,0.0,0.18,0.97,7.91,-66.8,96.39,-3.68,0.85,0.75,32.0,79072.0,2042.97,49252.222,0.0004,0.0186,0.0252,0.0911,0.1188,0.2625,0.0016,0.0045,30.91,40.61,33.25
34:1.:0,2150.4,93.7,6.165473,-75.419069,3.37,0.0,0.18,0.96,7.03,-66.8,95.8,-3.43,0.92,0.6,32.0,79065.0,2043.68,49276.978,0.0004,0.0186,0.0252,0.0911,0.1188,0.2625,0.002,0.0052,30.93,40.58,33.37
