time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
20:14:52,150.2,0.0,7.779019,-76.653763,0.0,0.97,-0.2,-0.02,-5.57,15.82,62.4,-2.75,0.76,1.53,34.4,100271.0,88.11,81.793,0.0046999999999999,0.0587,0.0034999999999999,3.2953,2.4993,18.6016,0.0113999999999999,0.0237999999999999,33.14,63.34,35.87
20:15:15,150.2,0.0,7.779019,-76.653763,0.0,0.96,-0.21,-0.01,-5.27,15.23,62.11,-2.9,0.45,1.09,34.6,100283.0,87.1,105.143,0.0038,0.045,0.0039,2.3574,1.8807,6.922000000000001,0.0076,0.0168,33.37,62.91,36.12
20:15:39,150.2,0.0,7.779019,-76.653763,0.0,0.96,-0.2,-0.02,-5.27,15.53,61.52,-3.09,0.11,0.88,34.8,100271.0,88.11,129.0,0.0032,0.0388,0.0040999999999999,1.8007,1.4962,4.0109,0.0060999999999999,0.0138,33.59,62.48,36.5
20:16:03,150.2,0.0,7.779019,-76.653763,0.0,0.97,-0.22,-0.02,-4.98,15.53,61.82,-3.52,0.47,0.93,35.1,100284.0,87.02,152.805,0.0027,0.0353,0.0043,1.4486,1.2438,2.8257,0.0052,0.0121999999999999,33.82,62.12,36.62
20:16:26,150.2,0.0,7.779019,-76.653763,0.0,0.96,-0.18,-0.03,-5.27,16.11,61.82,-2.96,1.06,0.84,35.3,100284.0,87.02,176.168,0.0025,0.0331,0.0044,1.2252,1.0789,2.2242,0.0046999999999999,0.0112,34.04,61.69,36.87
20:16:50,150.2,0.0,7.779019,-76.653763,0.0,0.95,-0.14,-0.03,-5.27,16.11,61.82,-4.07,0.15,0.08,35.5,100278.0,87.52,200.023,0.0022,0.0318,0.0045,1.057,0.9517,1.9298,0.0045,0.0106,34.26,61.32,37.0
20:17:14,150.2,0.0,7.779019,-76.653763,0.0,0.98,-0.24,-0.0,-4.69,15.23,60.64,-3.11,0.76,1.17,35.7,100284.0,87.02,223.766,0.002,0.0308,0.0046,0.9299,0.8536,1.706,0.0043,0.0102,34.47,61.0,37.25
20:17:37,150.2,0.0,7.779019,-76.653763,0.0,0.98,-0.18,-0.04,-6.15,15.23,61.52,-3.6,0.25,0.44,35.9,100278.0,87.52,247.109,0.0019,0.0301,0.0048,0.8259000000000001,0.7719,1.5702,0.0040999999999999,0.0098999999999999,34.65,60.66,37.5
20:18:01,150.2,0.0,7.779019,-76.653763,0.0,0.97,-0.16,-0.03,-6.15,14.94,61.52,-3.15,0.25,1.14,36.0,100278.0,87.52,270.993,0.0018,0.0298,0.0049,0.7555,0.7156999999999999,1.506,0.004,0.0097,34.82,60.31,37.62
20:18:25,150.2,0.0,7.779019,-76.653763,0.0,0.95,-0.17,-0.05,-4.98,16.11,61.23,-3.19,0.61,0.66,36.2,100281.0,87.27,294.734,0.0016,0.0289,0.005,0.6706,0.6467,1.3558,0.0039,0.0093999999999999,35.01,59.99,37.75
