time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
10:50:05,3073.1,75.81,6.866525,-75.46415,18.07,-0.39,0.07,1.32,-0.59,15.82,60.94,-2.36,1.96,-3.37,21.9,70698.0,2934.11,351.642,0.0013,0.0288,0.0075,0.4861999999999999,0.4921999999999999,1.3274,0.0038,0.0093,20.48,57.84,23.37
10:50:29,3027.2,15.39,6.876057,-75.4617,86.74,0.48,0.46,1.08,-1.17,15.23,60.35,-9.48,-2.98,2.65,22.0,70621.0,2942.69,375.378,0.0013,0.0289,0.0076,0.4621,0.4715,1.3558,0.0039,0.0093999999999999,20.64,57.35,23.62
10:50:29,3027.2,15.39,6.876057,-75.4617,86.74,-1.26,0.01,1.02,-1.46,16.11,60.64,-11.04,7.27,-6.83,22.1,70578.0,2947.48,399.996,0.0012,0.0286,0.0077,0.4303,0.4437,1.2996,0.0038,0.0092,20.78,57.06,23.87
10:51:17,3082.5,22.58,6.907169000000001,-75.44555,135.34,-0.01,-0.14,0.75,-0.88,15.53,59.77,0.73,-5.57,10.22,22.3,70183.0,2991.65,423.616,0.0012,0.0283999999999999,0.0079,0.4046,0.4211,1.2722,0.0038,0.0092,20.93,55.92,23.87
10:51:41,3141.7,23.38,6.922393,-75.439206,135.6,-0.54,-0.17,0.78,-0.59,15.53,59.77,-16.38,-2.21,3.83,22.4,70003.0,3011.84,447.372,0.0011,0.0283999999999999,0.008,0.3843,0.4031,1.2722,0.0038,0.0092,21.07,55.7,24.0
10:52:04,3159.9,24.86,6.935721000000001,-75.433081,137.9,-0.24,-0.42,0.97,-0.59,15.23,59.77,-11.87,-0.92,7.03,22.5,69885.0,3025.1,470.7,0.0011,0.0283999999999999,0.0081999999999999,0.3686999999999999,0.3892,1.2722,0.0038,0.0092,21.19,55.13,24.12
10:52:28,3161.3,23.21,6.950010000000001,-75.426681,140.08,-0.85,-0.21,0.91,-0.59,15.23,60.06,-9.8,5.2,-3.56,22.6,69907.0,3022.63,494.601,0.0011,0.0281,0.0084,0.35,0.3724,1.2191,0.0037,0.009,21.32,54.4,24.25
10:52:52,3168.1,22.09,6.96426,-75.420744,137.89,0.13,0.33,1.22,0.0,14.65,60.64,-14.21,-12.31,-4.52,22.7,69826.0,3031.74,518.382,0.001,0.0276,0.0086,0.3288,0.3531,1.1432,0.0036,0.0088,21.41,53.51,24.25
10:53:15,3190.2,21.93,6.977809,-75.41528100000001,136.97,-0.02,0.27,0.64,-0.29,14.65,60.64,-18.61,4.99,5.07,22.8,69622.0,3054.72,541.724,0.001,0.0281,0.0087,0.3253,0.35,1.2191,0.0037,0.009,21.55,52.84,24.37
10:53:39,3215.2,23.73,6.991812,-75.409288,136.28,0.49,0.03,0.8,-0.29,14.94,60.64,13.81,-7.44,2.7,22.9,69423.0,3077.2,565.607,0.001,0.0278,0.0087,0.3119,0.3377,1.1681,0.0036,0.0089,21.66,52.26,24.37
10:54:03,3209.0,24.6,7.005803,-75.402988,139.52,0.15,-0.45,1.54,-1.17,15.82,60.06,10.15,-18.63,4.16,23.0,69339.0,3086.7,589.365,0.001,0.0278,0.0089,0.3021999999999999,0.3287,1.1681,0.0036,0.0089,21.75,51.9,24.5
10:54:26,3220.3,26.5,7.019405,-75.396688,141.35,0.21,0.32,1.07,-0.88,16.41,60.64,-14.01,-9.54,-6.71,23.0,69389.0,3081.04,612.675,0.001,0.0278,0.009,0.2959,0.3228999999999999,1.1681,0.0036,0.0089,21.84,51.44,24.62
10:54:50,3183.3,26.66,7.03366,-75.389494,144.1,-0.44,0.34,1.04,-1.46,15.53,60.35,-27.16,-15.74,-0.4,23.1,69695.0,3046.49,636.624,0.0009,0.0278,0.0091,0.2866,0.3143,1.1681,0.0036,0.0089,21.93,50.97,24.62
10:55:14,3184.4,26.38,7.047627,-75.38274399999999,133.02,0.39,0.05,1.6,-0.88,16.41,60.64,-19.59,-4.76,0.98,23.2,69681.0,3048.07,660.334,0.0009,0.0275,0.0093999999999999,0.2718,0.3004,1.1189,0.0036,0.0088,22.02,50.7,24.62
10:55:37,3237.7,28.19,7.060061999999999,-75.376281,128.9,-1.57,-0.88,1.38,-0.88,16.11,60.35,6.5,-3.72,-11.91,23.3,69375.0,3082.63,683.653,0.0009,0.0275,0.0093999999999999,0.2718,0.3004,1.1189,0.0036,0.0088,22.09,50.51,24.75
10:56:01,3283.0,31.51,7.072366000000001,-75.369138,127.16,-0.45,0.26,0.6,-2.34,15.53,59.77,-1.34,-4.84,-7.23,23.3,68992.0,3126.05,707.578,0.0009,0.0276,0.0096,0.266,0.295,1.1432,0.0036,0.0088,22.14,50.56,24.87
