time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
30:74:6.,148.9,0.0,6.167962,-75.418613,0.37,-0.09,0.03,1.0,9.67,18.46,63.87,-2.75,1.47,0.41,23.4,79080.0,2042.16,82.971,0.0026,0.0404,0.0060999999999999,1.3256,1.1536,4.6724,0.0064,0.0146,21.96,74.27,24.87
30:81:0.,157.5,262.72,6.168982,-75.420588,0.0,-0.11,0.04,1.01,8.5,18.16,61.82,-3.46,1.38,0.75,23.7,79084.0,2041.75,107.347,0.0021,0.0333,0.0065,0.9865,0.8976000000000001,2.2695,0.0048,0.0113,22.21,74.1,25.25
30:83:4.,157.5,262.72,6.168982,-75.420588,0.0,-0.05,0.0,0.95,8.5,17.87,62.7,-2.59,-0.31,1.38,24.0,79075.0,2042.67,131.256,0.0019,0.0301,0.0068,0.8018000000000001,0.7526999999999999,1.5702,0.0040999999999999,0.0098999999999999,22.5,73.86,25.62
30:85:8.,157.5,262.72,6.168982,-75.420588,0.0,-0.1,-0.01,1.01,9.38,17.87,63.87,-3.34,1.32,0.63,24.3,79085.0,2041.65,155.01,0.0016,0.0283,0.0070999999999999,0.6573,0.6359,1.2454,0.0037,0.0091,22.78,73.53,25.87
30:92:1.,157.5,262.72,6.168982,-75.420588,0.0,-0.07,0.0,1.01,7.91,18.16,61.52,-2.26,0.92,1.02,24.5,79093.0,2040.83,178.356,0.0015,0.027,0.0073,0.56,0.555,1.0486,0.0034999999999999,0.0086,23.05,73.1,26.0
30:94:5.,157.5,262.72,6.168982,-75.420588,0.0,-0.05,0.02,0.98,8.79,18.46,63.57,-2.95,-0.05,0.96,24.7,79093.0,2040.83,202.158,0.0013,0.0262,0.0076,0.4861999999999999,0.4921999999999999,0.9402,0.0033,0.0081999999999999,23.28,72.68,26.25
31:00:9.,177.4,146.72,6.169038,-75.42025,0.0,-0.11,0.02,1.01,7.62,18.46,62.4,-3.33,0.13,0.98,24.9,79096.0,2040.53,225.986,0.0012,0.0256,0.0079,0.4347,0.4476,0.8608,0.0032,0.008,23.53,72.25,26.5
31:03:2.,177.4,146.72,6.169038,-75.42025,0.0,-0.06,0.02,0.99,7.91,18.75,62.11,-4.38,-0.03,0.22,25.1,79102.0,2039.92,249.319,0.0012,0.0253,0.008,0.3923,0.4102,0.8234,0.0032,0.0079,23.75,71.82,26.62
31:05:6.,177.4,146.72,6.169038,-75.42025,0.0,-0.08,0.02,0.98,7.62,18.16,61.82,-3.04,0.43,0.59,25.3,79113.0,2038.8,273.18,0.0011,0.0253,0.0083,0.3649,0.3858,0.7529,0.003,0.0076,23.96,71.44,26.87
31:12:0.,177.4,146.72,6.169038,-75.42025,0.0,-0.07,0.02,1.0,8.79,19.04,62.99,-3.0,0.56,1.05,25.4,79100.0,2040.12,296.953,0.001,0.025,0.0084,0.3393,0.3626,0.7874,0.0031,0.0077,24.15,71.03,27.0
31:14:3.,177.4,146.72,6.169038,-75.42025,0.0,-0.03,0.08,1.0,7.62,20.8,62.4,-2.74,0.68,0.77,25.6,79099.0,2040.22,320.29,0.001,0.0243999999999999,0.0087,0.3087,0.3347,0.7195999999999999,0.003,0.0075,24.33,70.72,27.12
31:20:7.,177.4,146.72,6.169038,-75.42025,0.0,-0.03,0.0,0.98,8.2,21.68,62.99,-4.12,0.27,0.68,25.7,79104.0,2039.71,344.156,0.001,0.0245,0.0089,0.2959,0.3228999999999999,0.7361,0.003,0.0076,24.5,70.41,27.25
31:23:1.,1007.1,153.97,6.16756,-75.418313,0.0,-0.09,0.08,1.01,8.2,21.39,62.4,-2.98,1.31,0.54,25.9,79107.0,2039.41,367.926,0.0009,0.0243999999999999,0.009,0.2805999999999999,0.3087,0.7195999999999999,0.003,0.0075,24.65,70.07,27.37
31:25:4.,1007.1,153.97,6.16756,-75.418313,0.0,-0.12,-0.03,0.96,9.08,21.68,63.87,-3.49,-0.46,0.56,26.0,79113.0,2038.8,391.28,0.0009,0.0237999999999999,0.0091,0.2632,0.2923,0.6570999999999999,0.0029,0.0073,24.8,69.82,27.62
31:31:8.,1007.1,153.97,6.16756,-75.418313,0.0,-0.06,0.02,1.0,7.91,20.8,62.7,-3.32,1.56,0.6,26.2,79110.0,2039.1,415.157,0.0009,0.0241,0.0093,0.2548,0.2844,0.6877,0.0029,0.0074,24.96,69.53,27.75
31:34:2.,1007.1,153.97,6.16756,-75.418313,0.0,0.0,0.07,1.02,8.5,21.68,62.99,-3.67,1.57,0.51,26.3,79105.0,2039.61,438.917,0.0008,0.0237999999999999,0.0093999999999999,0.2414,0.2717,0.6570999999999999,0.0029,0.0073,25.09,69.27,27.75
31:40:5.,1007.1,153.97,6.16756,-75.418313,0.0,-0.04,0.09,1.01,7.32,19.92,61.23,-2.64,2.11,0.79,26.4,79118.0,2038.29,462.238,0.0008,0.0236,0.0096,0.2312,0.2618,0.6422,0.0028,0.0072,25.23,69.01,27.87
