time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.06,-0.01,0.99,20.21,13.48,58.3,-3.3,2.1,0.97,19.8,67888.0,3252.32,132.165,0.01,0.0501,0.0034,10.1404,6.4911,10.3422,0.009,0.0193,19.43,74.86,20.75
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.04,-0.17,1.11,20.8,12.89,58.59,-3.66,-1.42,1.43,20.2,67897.0,3251.29,156.481,0.0086,0.0445,0.0035,8.1372,5.3847000000000005,6.6707,0.0075,0.0165,19.85,74.13,21.0
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.06,-0.06,1.15,19.92,13.18,58.3,-4.46,-0.4,1.34,20.5,67816.0,3260.61,181.155,0.0077,0.0417,0.0036,6.872999999999998,4.6655,5.2334000000000005,0.0068,0.0152,20.23,73.39,21.37
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.07,-0.09,1.17,21.39,12.6,58.59,-0.48,2.49,0.85,20.8,67942.0,3246.11,205.694,0.0068,0.039,0.0037,5.7016,3.9811,4.0886000000000005,0.0061,0.0139,20.6,72.53,21.75
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.01,0.06,0.88,20.51,12.3,58.01,-7.8,2.27,-0.08,21.1,67966.0,3243.35,229.993,0.0062,0.038,0.0039,4.9565,3.5347000000000004,3.7137,0.0059,0.0134,20.93,71.8,22.0
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.11,-0.09,1.19,20.8,12.3,58.59,0.69,1.62,1.37,21.4,67875.0,3253.82,254.681,0.0056999999999999,0.0368,0.0039,4.3638,3.1724,3.3057,0.0056,0.0129,21.25,71.02,22.37
14:05:25,3446.8,61.33,6.262734,-75.166738,166.62,0.03,-0.02,0.68,20.51,12.3,58.59,-4.22,3.58,2.33,21.7,67906.0,3250.25,278.197,0.0052,0.0359,0.004,3.8084,2.8261000000000003,2.9976,0.0054,0.0124,21.57,70.22,22.62
14:05:49,3443.4,60.83,6.2718050000000005,-75.15050600000002,166.28,0.01,-0.04,0.87,20.8,12.01,59.47,-5.78,1.97,1.21,22.0,67925.0,3248.06,301.94,0.0048,0.0349,0.0041,3.3986,2.5657,2.7161,0.0052,0.012,21.85,69.42,23.0
14:06:12,3448.4,60.25,6.280354,-75.134919,165.61,-0.03,-0.11,0.85,21.09,12.3,58.01,-3.62,-0.56,1.24,22.3,67909.0,3249.9,325.308,0.0045,0.0345,0.0043,3.0672,2.3517,2.6104000000000003,0.0051,0.0118,22.12,68.65,23.12
14:06:36,3435.6,59.33,6.289755,-75.11890600000002,168.71,0.12,-0.07,1.11,20.21,12.3,59.18,-1.91,0.12,0.09,22.5,67936.0,3246.8,349.157,0.0042,0.034,0.0043,2.7986,2.1756,2.459,0.0049,0.0116,22.39,67.9,23.37
