time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
16:42:08,335.1,176.77,7.918011999999999,-72.51451899999999,0.85,-0.37,0.02,0.94,-10.84,14.94,62.11,-3.36,0.23,0.95,36.6,97410.0,331.11,107.058,0.0022,0.0305,0.006,1.0062,0.9128,1.6368,0.0042,0.01,35.33,56.44,38.0
16:42:32,334.6,183.6,7.917998,-72.51450600000001,0.0,-0.36,0.01,0.95,-11.43,15.53,62.4,-3.88,0.97,0.56,36.9,97418.0,330.43,130.926,0.0019,0.0288,0.0062,0.8018000000000001,0.7526999999999999,1.3274,0.0038,0.0093,35.62,56.45,38.37
16:42:56,334.6,183.6,7.917998,-72.51450600000001,0.0,-0.36,0.03,0.93,-11.43,14.94,61.82,-4.96,0.41,0.56,37.0,97417.0,330.51,154.67,0.0016,0.0278,0.0067,0.6706,0.6467,1.1681,0.0036,0.0089,35.87,55.2,38.5
16:43:19,331.4,17.26,7.918858999999999,-72.514269,40.55,-0.44,-0.08,0.69,-12.01,15.23,62.99,-21.61,-0.89,-3.27,37.1,97398.0,332.14,178.011,0.0015,0.0272,0.0068,0.5714,0.5646,1.0716,0.0034999999999999,0.0086,36.11,54.34,38.5
16:43:43,344.5,17.38,7.927794,-72.511481,104.89,-0.42,-0.11,0.91,-11.13,16.7,63.28,-4.91,1.64,0.81,36.9,97240.0,345.73,201.91,0.0013,0.0264,0.0072,0.4813,0.488,0.961,0.0034,0.0083,36.11,52.42,38.25
16:44:07,494.1,9.1,7.93929,-72.50855,106.29,-0.5,-0.06,0.98,-12.01,15.23,62.99,-1.22,3.66,2.36,36.9,95898.0,461.88,225.627,0.0012,0.0260999999999999,0.0075,0.4259,0.4399,0.9198,0.0033,0.0081999999999999,36.11,51.03,38.25
16:44:30,610.4,0.4,7.951472,-72.5078,120.49,-0.27,-0.15,0.61,-9.67,14.06,63.28,2.84,1.46,0.83,36.4,94759.0,561.5,248.953,0.0011,0.0254,0.0077,0.3686999999999999,0.3892,0.8419,0.0032,0.0079,36.03,49.92,37.75
16:44:54,666.1,6.0,7.965877000000001,-72.507238,135.92,-0.37,0.0,0.69,-11.43,15.53,62.4,-0.05,-1.41,4.54,36.2,94137.0,616.31,272.844,0.001,0.0247,0.0081999999999999,0.3253,0.35,0.7529,0.003,0.0076,35.83,49.97,37.5
16:45:18,721.8,6.36,7.980764999999999,-72.505669,139.3,-0.42,0.04,0.98,-11.13,14.94,61.82,-2.62,2.87,0.05,35.9,93535.0,669.63,296.581,0.001,0.0248,0.0083,0.3021999999999999,0.3287,0.77,0.0031,0.0077,35.76,49.89,37.25
16:45:41,805.9,5.96,7.995238,-72.50415600000001,137.64,-0.27,0.14,0.96,-5.57,10.55,63.57,-1.41,-3.51,-0.35,35.9,92794.0,735.65,319.905,0.0009,0.0239,0.0086,0.2689,0.2977,0.6723,0.0029,0.0073,35.51,50.46,37.12
16:46:05,834.8,6.0,8.010549000000001,-72.50255600000001,141.36,-0.25,0.04,0.85,-5.86,9.96,63.57,-6.64,4.47,2.2,36.0,92546.0,757.85,343.801,0.0009,0.0241,0.0087,0.2603999999999999,0.2897,0.6877,0.0029,0.0074,35.68,50.64,37.25
16:46:29,859.8,1.62,8.026,-72.501531,141.57,-0.33,-0.02,0.97,-5.86,9.67,63.28,-7.27,4.99,-1.98,35.9,92072.0,800.4,367.546,0.0009,0.0241,0.0089,0.2494,0.2793,0.6877,0.0029,0.0074,35.61,50.17,37.25
16:46:52,878.4,5.84,8.041210000000001,-72.5008,146.4,-0.22,0.14,0.79,-7.91,10.55,62.7,-1.3,4.26,3.77,35.9,91787.0,826.06,390.87,0.0008,0.0239,0.009,0.2387999999999999,0.2692,0.6723,0.0029,0.0073,35.58,49.97,37.25
16:47:16,841.5,0.19,8.058171000000002,-72.50054399999999,152.39,-0.09,-0.05,0.84,-6.15,9.67,62.7,-2.12,0.63,-1.11,36.1,92076.0,800.04,414.768,0.0008,0.0239,0.0091,0.2312,0.2618,0.6723,0.0029,0.0073,35.73,50.59,37.37
16:47:40,819.1,358.72,8.075374,-72.500619,154.61,-0.18,-0.05,1.02,-4.98,9.67,63.28,1.05,-3.45,-0.54,35.8,92232.0,786.01,438.571,0.0008,0.0239,0.0093,0.2237,0.2546,0.6723,0.0029,0.0073,35.68,50.38,37.12
16:48:03,796.4,335.65,8.091427000000001,-72.503638,152.1,-0.29,0.15,0.96,-2.34,9.96,63.87,-1.84,1.1,0.54,36.0,92400.0,770.93,461.894,0.0008,0.0239,0.0093999999999999,0.2189,0.25,0.6723,0.0029,0.0073,35.61,50.27,37.25
16:48:27,810.7,297.32,8.102514999999999,-72.516006,151.78,-0.2,-0.04,0.84,4.1,12.6,63.57,-4.42,0.5,1.05,35.9,92389.0,771.92,485.779,0.0008,0.0237999999999999,0.0096,0.2095,0.2408,0.6570999999999999,0.0029,0.0073,35.5,49.76,37.25
16:48:51,800.5,301.19,8.110416,-72.53115600000001,151.67,-0.27,-0.04,1.08,4.69,12.89,62.99,1.5,-0.72,0.02,35.8,92600.0,753.01,509.522,0.0007,0.0233999999999999,0.0097,0.196,0.2276,0.6134000000000001,0.0028,0.0070999999999999,35.39,49.91,37.0
16:49:14,829.7,305.45,8.119159,-72.544294,142.16,-0.26,0.05,0.95,4.1,12.3,63.57,-5.68,-5.32,0.69,35.8,92295.0,780.36,532.847,0.0007,0.0235,0.0098999999999999,0.196,0.2276,0.6277,0.0028,0.0070999999999999,35.16,49.48,37.0
16:49:38,849.6,305.05,8.128199,-72.557356,143.03,-0.16,-0.05,0.89,4.39,12.3,63.28,-2.17,3.31,0.71,35.8,92135.0,794.73,556.747,0.0007,0.0235,0.0101,0.1895,0.2212,0.6277,0.0028,0.0070999999999999,35.21,50.32,37.12
16:50:02,858.4,302.22,8.13715,-72.57078800000001,143.18,-0.22,-0.01,0.84,4.98,12.01,62.99,-5.35,2.73,0.9,35.6,92073.0,800.31,580.485,0.0007,0.0232,0.0101,0.1812,0.2128999999999999,0.5993999999999999,0.0028,0.0069999999999999,35.11,50.38,37.0
16:50:26,840.8,291.08,8.144283999999999,-72.585388,150.3,-0.31,-0.03,1.1,5.86,14.06,63.87,-6.32,4.97,1.23,35.6,92147.0,793.65,604.803,0.0007,0.0232,0.0103,0.1772,0.2089,0.5993999999999999,0.0028,0.0068,35.12,50.57,37.0
16:50:50,869.4,286.51,8.149712,-72.601156,145.73,-0.32,-0.0,0.9,6.15,14.65,62.99,-1.3,2.01,-1.57,35.5,91766.0,827.96,628.711,0.0007,0.0232,0.0104,0.1752,0.2069,0.5993999999999999,0.0028,0.0069999999999999,35.18,50.35,36.87
16:51:14,972.5,325.67,8.158031,-72.61404399999999,135.96,-0.4,0.02,0.8,2.64,9.96,62.7,-2.92,0.35,0.16,35.5,90896.0,906.73,652.441,0.0007,0.0231,0.0106,0.1655,0.1972,0.5212,0.0026,0.0067,35.12,50.44,36.75
16:51:37,1007.9,348.21,8.171918,-72.618838,139.41,-0.32,-0.03,0.84,-2.93,9.67,64.16,0.32,4.01,1.53,35.4,90306.0,960.5,675.777,0.0007,0.0232,0.0106,0.1693,0.201,0.5993999999999999,0.0028,0.0069999999999999,35.03,49.8,36.75
16:52:01,1046.9,347.83,8.187297000000001,-72.622331,146.38,-0.36,0.0,1.01,-2.93,9.67,63.87,-0.56,3.86,1.66,35.3,89904.0,997.3,699.662,0.0006,0.0231,0.0107,0.1637,0.1953,0.5857,0.0027,0.0069999999999999,34.89,48.45,36.62
16:52:25,1049.6,356.94,8.204032000000002,-72.624575,155.7,-0.29,0.03,0.95,-4.1,9.67,63.57,-3.56,3.75,0.72,35.2,89960.0,992.17,723.407,0.0006,0.0226,0.011,0.1545,0.186,0.5462,0.0027,0.0068,34.82,48.54,36.37
