time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
17:31:10,2759.2,3.36,6.4249730000000005,-75.451844,139.62,0.21,0.2,0.57,4.39,31.35,57.71,-13.13,3.58,-1.75,27.7,73796.0,2594.93,130.766,0.0043,0.0408,0.0048,2.8852999999999995,2.2327,4.8529,0.0066,0.0148,26.01,50.13,29.25
17:31:34,2736.7,1.83,6.440814,-75.45111899999999,142.54,-0.57,-0.94,0.91,4.98,30.76,57.42,-12.89,-1.71,-1.34,27.9,73923.0,2581.28,154.499,0.0038,0.0384,0.0049,2.3812,1.8968,3.8596,0.006,0.0136,26.29,50.23,29.5
17:31:58,2722.9,1.96,6.456652,-75.450575,142.29,0.39,-0.62,0.87,4.98,30.76,57.42,39.09,-15.19,-1.31,28.1,73998.0,2573.22,178.864,0.0034,0.0372,0.0052,2.0088,1.6418,3.4369,0.0056999999999999,0.0131,26.54,49.68,29.62
17:32:22,2713.4,5.85,6.472827,-75.449431,139.9,-0.18,-0.83,0.92,3.52,32.52,58.3,23.65,0.39,-7.39,28.3,74123.0,2559.81,202.74,0.003,0.0359,0.0053,1.6968,1.4225,2.9976,0.0054,0.0124,26.78,49.23,29.87
17:32:46,2704.8,9.37,6.488417,-75.447238,139.87,0.12,0.37,0.86,3.81,31.93,58.3,-19.58,1.66,-8.97,28.4,74158.0,2556.06,226.473,0.0027,0.0347,0.0056,1.4344,1.2334,2.6628,0.0051,0.0118999999999999,27.0,48.7,29.87
17:33:10,2743.9,4.77,6.503425,-75.444781,135.02,0.47,0.51,0.81,2.05,31.93,58.3,-11.91,-11.61,-6.01,28.5,73842.0,2589.99,250.812,0.0025,0.0342,0.0056999999999999,1.2744,1.1156,2.5085,0.005,0.0116999999999999,27.21,48.76,30.0
17:33:34,2738.8,357.51,6.518753,-75.44545600000001,139.04,-0.63,-0.22,1.08,0.0,31.05,60.06,-30.52,-2.96,0.71,28.7,73793.0,2595.26,274.701,0.0023,0.034,0.0058,1.1436,1.0176,2.459,0.0049,0.0116,27.43,48.03,30.12
17:33:58,2782.3,0.94,6.533938,-75.445656,138.97,0.02,-0.25,0.85,0.0,31.64,59.47,11.53,-9.06,-7.48,28.8,73403.0,2637.31,298.435,0.0022,0.0336,0.0060999999999999,1.0262,0.9282,2.3625,0.0049,0.0113999999999999,27.59,47.46,30.25
17:34:21,2803.1,3.7,6.548577,-75.445131,136.91,-0.14,-0.61,0.96,0.59,31.93,58.59,23.9,13.22,-1.61,28.9,73254.0,2653.43,321.773,0.0021,0.0333,0.0062,0.9391,0.8608,2.2695,0.0048,0.0113,27.76,46.82,30.37
17:34:45,2854.0,7.45,6.563485000000001,-75.44365,134.95,-0.28,-0.64,1.21,2.05,32.81,57.42,12.69,12.23,1.68,28.9,72809.0,2701.72,345.682,0.0019,0.0331,0.0064,0.8592,0.7983,2.2242,0.0046999999999999,0.0112,27.89,45.91,30.37
17:35:09,2867.9,7.04,6.578444999999999,-75.441475,138.27,-0.58,-0.87,0.85,2.05,31.93,58.3,-10.84,-6.41,7.71,29.1,72753.0,2707.81,369.412,0.0018,0.0327,0.0065,0.7861,0.7402,2.1362,0.0046999999999999,0.011,28.01,45.26,30.5
17:35:32,2897.4,7.72,6.59307,-75.439756,137.27,-0.36,-0.48,0.68,0.59,31.93,58.3,-13.44,0.55,4.54,29.2,72440.0,2741.94,392.743,0.0017,0.0325,0.0067,0.7333,0.6978,2.0934,0.0046,0.011,28.12,44.74,30.62
17:35:56,2916.1,6.0,6.608158,-75.437606,137.14,-0.24,0.04,0.99,2.64,33.98,56.25,-14.07,-11.88,5.73,29.2,72311.0,2756.04,416.636,0.0017,0.0322,0.0068,0.6840999999999999,0.6578,2.0101,0.0046,0.0108,28.22,44.79,30.75
17:36:20,2904.7,3.62,6.623765,-75.436675,139.78,-0.2,-0.22,1.04,1.76,32.81,57.71,-11.7,2.75,4.7,29.3,72353.0,2751.45,440.373,0.0016,0.0324,0.0069,0.6507999999999999,0.6305,2.0513,0.0046,0.0109,28.32,44.4,30.75
17:36:43,2919.1,5.32,6.638741,-75.435369,139.13,-0.03,-0.13,0.95,1.46,31.35,58.3,-22.03,-8.17,3.89,29.3,72237.0,2764.14,463.705,0.0015,0.032,0.0070999999999999,0.6068,0.5942000000000001,1.9695,0.0045,0.0107,28.4,43.84,30.75
17:37:07,2948.9,2.29,6.653934,-75.434494,137.5,-0.39,-0.13,1.02,0.29,31.93,58.89,-38.65,-3.88,6.12,29.5,72052.0,2784.42,487.614,0.0015,0.0318,0.0072,0.5771999999999999,0.5694,1.9298,0.0045,0.0106,28.47,43.04,31.0
