time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
15:.0:,1612.6,26.9,6.277804,-75.579763,0.0,-0.05,0.05,1.03,4.39,25.78,61.82,-4.43,1.75,-0.04,29.0,84076.0,1546.37,10593.931,0.0006,0.0302999999999999,0.0231,0.1392,0.1702,1.6032,0.0040999999999999,0.01,27.86,53.87,30.62
39:.0:,1612.6,26.9,6.277804,-75.579763,0.0,-0.09,-0.19,0.93,5.27,26.07,62.11,-2.82,-1.79,1.4,29.0,84096.0,1544.43,10619.282,0.0006,0.0305,0.0231,0.1392,0.1702,1.6368,0.0042,0.01,27.9,53.9,30.62
10:4.:0,1612.6,26.9,6.277804,-75.579763,0.0,0.02,-0.03,0.91,5.27,26.95,62.4,-0.83,-0.89,0.03,29.0,84079.0,1546.08,10643.129,0.0006,0.0305,0.0231,0.1392,0.1702,1.6368,0.0042,0.01,27.93,54.04,30.62
12:8.:0,1612.6,26.9,6.277804,-75.579763,0.0,-0.01,-0.01,1.13,4.69,26.95,62.11,0.62,1.51,-1.58,29.1,84092.0,1544.82,10667.896,0.0006,0.0311,0.0229,0.1392,0.1702,1.7778999999999998,0.0043,0.0103,27.98,54.08,30.62
15:3.:0,1612.6,26.9,6.277804,-75.579763,0.0,-0.01,0.02,1.06,4.98,26.66,61.82,-3.07,-0.29,0.66,29.1,84079.0,1546.08,10692.242,0.0006,0.0325,0.0225,0.1409,0.1719,2.0934,0.0046,0.011,28.0,54.11,30.62
21:7.:0,1612.6,26.9,6.277804,-75.579763,0.0,0.17,-0.09,1.0,4.69,26.07,62.11,-0.82,2.08,-2.44,29.1,84077.0,1546.27,10717.122,0.0006,0.0329,0.0224,0.1425,0.1736,2.1798,0.0046999999999999,0.0111,28.04,54.18,30.75
24:2.:0,1612.6,26.9,6.277804,-75.579763,0.0,0.05,0.08,1.15,4.98,26.37,61.82,-4.91,8.83,2.82,29.1,84090.0,1545.01,10740.864,0.0006,0.0329,0.022,0.1425,0.1736,2.1798,0.0046999999999999,0.0111,28.08,54.66,30.75
30:6.:0,1612.6,26.9,6.277804,-75.579763,0.0,-0.06,-0.11,0.91,4.98,26.07,61.23,-1.23,0.89,0.87,29.1,84083.0,1545.69,10766.215,0.0006,0.0324,0.022,0.1409,0.1719,2.0513,0.0046,0.0109,28.09,54.79,30.75
33:1.:0,1612.6,26.9,6.277804,-75.579763,0.0,0.07,-0.24,0.94,4.69,26.37,62.4,1.49,-3.06,0.62,29.2,84105.0,1543.56,10789.585,0.0006,0.0333,0.0219,0.1409,0.1719,2.2695,0.0048,0.0113,28.14,54.76,30.87
35:5.:0,1612.6,26.9,6.277804,-75.579763,0.0,0.04,-0.02,0.92,4.98,26.07,62.7,-1.79,1.4,-4.34,29.3,84076.0,1546.37,10814.838,0.0006,0.0334,0.0215,0.1409,0.1719,2.3156,0.0048,0.0113999999999999,28.18,54.7,30.87
42:0.:0,1614.1,50.16,6.278457,-75.579175,33.4,0.05,-0.27,0.97,7.32,26.95,61.52,12.47,6.02,-1.29,29.3,83666.0,1586.14,10839.181,0.0006,0.0322,0.0215,0.1442,0.1754,2.0101,0.0046,0.0108,28.23,54.55,31.0
44:4.:0,1666.3,108.86,6.27867,-75.573463,66.16,0.3,-0.37,0.96,8.79,16.7,62.7,-1.98,-1.4,-1.42,29.4,82454.0,1704.65,10864.082,0.0006,0.0311,0.0219,0.1425,0.1736,1.7778999999999998,0.0043,0.0103,28.22,54.74,31.0
50:9.:0,1741.0,139.4,6.272298,-75.566363,97.69,-0.12,0.04,0.98,4.39,11.72,63.28,-8.13,-2.99,3.36,29.4,81474.0,1801.51,10887.801,0.0006,0.0308,0.0219,0.1425,0.1736,1.706,0.0043,0.0102,28.22,54.39,31.0
53:2.:0,1836.5,159.07,6.2626610000000005,-75.561181,106.5,-0.04,-0.26,0.95,0.88,10.25,63.28,-6.26,-0.28,2.4,29.4,80721.0,1876.58,10912.148,0.0006,0.0308,0.0219,0.1425,0.1736,1.706,0.0043,0.0102,28.25,53.92,31.0
55:7.:0,2068.8,147.57,6.251512,-75.555888,101.6,-0.12,-0.17,0.84,3.52,11.13,62.4,-7.51,-7.19,3.53,29.5,79390.0,2010.66,10936.042,0.0006,0.0306,0.0217,0.1425,0.1736,1.6711,0.0042,0.0101,28.25,53.25,31.0
62:1.:0,2298.4,124.83,6.243102,-75.54905600000001,94.71,-0.35,0.08,1.1,7.91,12.3,60.94,-18.84,-1.95,7.16,29.5,77603.0,2193.58,10960.776,0.0006,0.0305,0.0217,0.1409,0.1719,1.6368,0.0042,0.01,28.28,52.55,31.0
64:6.:0,2513.9,70.23,6.241967,-75.540113,71.68,-0.04,-0.37,0.98,9.96,21.97,60.35,4.01,4.32,-5.46,29.5,75017.0,2464.42,10985.103,0.0006,0.0305,0.0213,0.1442,0.1754,1.6368,0.0042,0.01,28.26,51.52,31.0
71:0.:0,2645.1,51.53,6.247567,-75.53173100000001,99.9,0.21,0.07,0.9,8.2,25.49,61.23,2.02,2.41,-1.4,29.6,73521.0,2624.57,11009.984,0.0006,0.0305,0.0212,0.1442,0.1754,1.6368,0.0042,0.01,28.29,50.59,31.12
73:5.:0,2799.7,58.04,6.255153,-75.5213,112.83,-0.09,0.07,1.1,8.5,24.61,62.11,5.78,-1.2,2.56,29.6,72731.0,2710.21,11033.235,0.0006,0.0299,0.021,0.1409,0.1719,1.5378,0.0040999999999999,0.0098,28.33,49.52,31.12
75:8.:0,2853.7,62.76,6.26086,-75.51034399999999,118.64,-0.3,0.17,0.94,9.08,23.14,61.82,-8.17,1.37,1.36,29.6,72606.0,2723.83,11058.072,0.0006,0.0302999999999999,0.0208,0.1425,0.1736,1.6032,0.0040999999999999,0.01,28.36,48.87,31.12
82:3.:0,2834.2,58.0,6.268118,-75.49815600000001,120.97,0.11,-0.22,1.36,7.32,26.07,62.11,-2.25,-0.82,-0.05,29.6,72921.0,2689.54,11081.96,0.0006,0.0302999999999999,0.0207,0.1442,0.1754,1.6032,0.0040999999999999,0.01,28.39,48.74,31.12
84:7.:0,2747.8,92.9,6.271778,-75.485244,120.22,-0.02,-0.27,1.23,7.91,20.21,63.28,-14.89,2.83,3.4,29.7,73644.0,2611.3,11106.703,0.0006,0.0302999999999999,0.0204999999999999,0.1442,0.1754,1.6032,0.0040999999999999,0.01,28.41,48.68,31.12
