time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
10:23:22,2148.7,25.28,6.167462,-75.419988,0.34,0.23,0.05,0.97,-2.64,-48.63,96.39,-3.37,0.72,0.72,22.7,78867.0,2063.85,82.807,0.0034,0.032,0.0060999999999999,1.9889,1.6279,1.9695,0.0045,0.0107,21.39,76.16,24.12
10:23:46,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.64,-49.22,96.39,-3.51,0.96,0.64,22.9,78870.0,2063.55,107.162,0.0029,0.0286,0.0064,1.6149,1.364,1.2996,0.0038,0.0092,21.59,76.2,24.37
10:24:10,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.96,-2.05,-49.51,96.09,-3.57,0.72,0.66,23.2,78868.0,2063.75,131.025,0.0026,0.0266999999999999,0.0068,1.3256,1.1536,1.004,0.0034,0.0084,21.82,76.08,24.62
10:24:34,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.97,-2.64,-49.51,95.8,-3.46,0.99,0.64,23.4,78871.0,2063.44,154.779,0.0023,0.0254,0.0070999999999999,1.1213,1.0007,0.8419,0.0032,0.0079,22.03,75.86,24.87
10:24:57,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.64,-48.93,96.09,-3.56,0.94,0.87,23.6,78871.0,2063.44,178.114,0.0021,0.0248,0.0073,0.9673,0.8826999999999999,0.77,0.0031,0.0077,22.23,75.57,25.0
10:25:21,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.64,-48.93,95.8,-3.46,0.82,1.0,23.7,78870.0,2063.55,202.003,0.0019,0.0242,0.0076,0.8423999999999999,0.785,0.7034999999999999,0.003,0.0074,22.43,75.23,25.25
10:25:45,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.34,-48.34,96.09,-3.49,0.89,0.79,23.9,78878.0,2062.73,225.82,0.0018,0.0241,0.0079,0.763,0.7217,0.6877,0.0029,0.0074,22.59,74.83,25.37
10:26:08,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.34,-48.93,95.8,-3.4,0.69,0.95,24.0,78883.0,2062.22,249.16,0.0017,0.0237999999999999,0.008,0.6840999999999999,0.6578,0.6570999999999999,0.0029,0.0073,22.78,74.43,25.5
10:26:32,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.97,-2.34,-49.22,95.8,-3.6,0.71,0.62,24.2,78885.0,2062.02,273.042,0.0015,0.0231,0.0083,0.6068,0.5942000000000001,0.5857,0.0027,0.0069999999999999,22.91,74.05,25.62
10:26:56,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.93,-48.63,96.09,-3.4,0.98,0.4,24.3,78891.0,2061.41,296.796,0.0015,0.0229,0.0084,0.56,0.555,0.5722999999999999,0.0027,0.0069,23.05,73.63,25.75
10:27:19,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.97,-2.93,-48.93,95.51,-3.37,0.87,0.45,24.4,78891.0,2061.41,320.133,0.0014,0.0229,0.0087,0.5219,0.5228,0.5722999999999999,0.0027,0.0069,23.18,73.27,25.87
10:27:43,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.64,-49.51,95.21,-3.23,0.92,0.8,24.5,78899.0,2060.59,344.012,0.0013,0.0229,0.0089,0.4861999999999999,0.4921999999999999,0.5722999999999999,0.0027,0.0069,23.32,72.88,26.0
10:28:07,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.97,-2.93,-49.22,95.21,-3.56,0.89,0.56,24.6,78891.0,2061.41,367.776,0.0013,0.0227999999999999,0.0091,0.4575,0.4674,0.5590999999999999,0.0027,0.0068,23.41,72.51,26.0
10:28:30,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.04,0.97,-2.93,-49.22,95.8,-3.56,0.98,0.8,24.7,78890.0,2061.51,391.106,0.0012,0.0226,0.0093,0.4303,0.4437,0.5462,0.0027,0.0068,23.53,72.17,26.25
10:28:54,2141.7,200.36,6.167463,-75.42,0.0,0.23,0.05,0.98,-3.22,-48.93,96.09,-3.27,0.67,0.53,24.8,78907.0,2059.77,414.988,0.0012,0.0225,0.0093999999999999,0.4046,0.4211,0.5336,0.0026,0.0067,23.62,71.85,26.25
10:29:18,2141.7,200.36,6.167463,-75.42,0.0,0.22,0.05,0.97,-2.64,-48.93,96.09,-3.67,0.7,0.37,24.9,78902.0,2060.28,438.732,0.0011,0.0225,0.0097,0.3883,0.4067,0.5336,0.0026,0.0067,23.71,71.53,26.37
